2025-11-19 16:42:10,849 | PID=3740723 | idx=28 | STEP=zarr_file_0 | open=16.8ms | read=52.3ms
2025-11-19 16:42:10,870 | PID=3740729 | idx=52 | STEP=zarr_file_0 | open=37.0ms | read=53.2ms
2025-11-19 16:42:10,874 | PID=3740718 | idx=12 | STEP=zarr_file_0 | open=10.7ms | read=44.5ms
2025-11-19 16:42:10,886 | PID=3740721 | idx=24 | STEP=zarr_file_0 | open=6.1ms | read=44.1ms
2025-11-19 16:42:10,889 | PID=3740724 | idx=32 | STEP=zarr_file_0 | open=6.9ms | read=47.4ms
2025-11-19 16:42:10,896 | PID=3740730 | idx=56 | STEP=zarr_file_0 | open=6.0ms | read=44.6ms
2025-11-19 16:42:10,897 | PID=3740726 | idx=40 | STEP=zarr_file_0 | open=6.6ms | read=59.6ms
2025-11-19 16:42:10,898 | PID=3740725 | idx=36 | STEP=zarr_file_0 | open=6.9ms | read=46.5ms
2025-11-19 16:42:10,898 | PID=3740727 | idx=44 | STEP=zarr_file_0 | open=6.0ms | read=43.2ms
2025-11-19 16:42:10,898 | PID=3740732 | idx=60 | STEP=zarr_file_0 | open=5.2ms | read=42.4ms
2025-11-19 16:42:10,899 | PID=3740720 | idx=20 | STEP=zarr_file_0 | open=6.1ms | read=45.8ms
2025-11-19 16:42:10,903 | PID=3740719 | idx=16 | STEP=zarr_file_0 | open=5.9ms | read=46.5ms
2025-11-19 16:42:10,903 | PID=3740715 | idx=0 | STEP=zarr_file_0 | open=8.5ms | read=44.5ms
2025-11-19 16:42:10,905 | PID=3740716 | idx=4 | STEP=zarr_file_0 | open=7.4ms | read=47.2ms
2025-11-19 16:42:10,907 | PID=3740723 | idx=28 | STEP=zarr_file_1 | open=3.9ms | read=53.3ms
2025-11-19 16:42:10,908 | PID=3740728 | idx=48 | STEP=zarr_file_0 | open=6.4ms | read=49.8ms
2025-11-19 16:42:10,919 | PID=3740718 | idx=12 | STEP=zarr_file_1 | open=3.3ms | read=42.0ms
2025-11-19 16:42:10,933 | PID=3740717 | idx=8 | STEP=zarr_file_0 | open=8.1ms | read=74.1ms
2025-11-19 16:42:10,934 | PID=3740721 | idx=24 | STEP=zarr_file_1 | open=3.1ms | read=44.4ms
2025-11-19 16:42:10,938 | PID=3740724 | idx=32 | STEP=zarr_file_1 | open=3.3ms | read=45.0ms
2025-11-19 16:42:10,943 | PID=3740732 | idx=60 | STEP=zarr_file_1 | open=3.1ms | read=42.0ms
2025-11-19 16:42:10,945 | PID=3740730 | idx=56 | STEP=zarr_file_1 | open=3.0ms | read=46.2ms
